code,category,unit,status,ziel,formula,is_calculated,user_percent
2.0,Bedarfsniveau (statisch),GWh/a,798.867,798.867,,0,
2.1,davon Haushalte,%,71.6,71.6,,0,
2.1.0,=,GWh/a,,,2.0 * 2.1 / 100,1,
2.1.1,Wohnfläche pro Person,qm/Person,44.7,44.7,,0,
2.1.2,Zieleinfluss Wohnflächen-Entwicklung,% v. Status,100.0,100.0,,0,
2.1.9,=,GWh/a,,,2.1.0 * 2.1.2 / 100,1,
2.2,dav.Gewerbe/Handel/Dienstl. + Industr.,%,28.4,28.4,,0,
2.2.0,=,GWh/a,,,2.0 * 2.2 / 100,1,
2.2.1,Zieleinfluss Erwerbstätigkeit,% v. Status,100.0,100.0,,0,
2.2.9,=,GWh/a,,,2.2.0 * 2.2.1 / 100,1,
2.3,Bedarfsniveau (Wohnfläche/Wirtschaftl.Entw.),GWh/a,,,2.1.9 + 2.2.9,1,
2.4,davon Raumwärme,%,85.9,85.9,,0,
2.4.0,=,GWh/a,,,2.3 * 2.4 / 100,1,
2.4.1,Spez.Raumwärmebed.Status/Saniert,kWh/qm/a,136.0,75.0,,0,
2.4.2,= Veränderung zum Status,% v.Status,,,calculated formula,1,
2.4.3,Gebäude - Sanierungs-/Ersatzrate,%/a,1.50,,,0,
2.4.4,Sanierungszeitraum: 22 Jahre,Kalenderjahr,2023.0,2045.0,,0,
2.4.5,= Gebäudeanteil mit Ziel-Wärmeschutz,% v.Status,,,calculated formula,1,
2.4.6,= Result.spez.Raumwärmebed. ges.,kWh/qm/a,,,calculated formula,1,
2.4.7,= Raumwärmebedarf Veränderung,% v.Status,,,calculated formula,1,
2.4.9,= Bedarfsniveau (Sanierung/Ersatz),GWh/a,,,calculated formula,1,
2.5,davon Warmwasser,%,14.1,14.1,,0,
2.5.0,=,GWh/a,,,2.3 * 2.5 / 100,1,
2.5.1,Zieleinfluss Anwendungs-/Prozess-Effizienz,%,100.0,70.0,,0,
2.5.2,=,GWh/a,,,2.5.0 * 2.5.1 / 100,1,
2.5.3,= Res. Anteil Warmwasser an Gebäudew.,%,,,calculated formula,1,
2.6,Bedarfsniveau (Sanierung/ Anwendungseff.),GWh/a,,,2.4.9 + 2.5.2,1,
2.7,davon Brennstoffe,% v. [75],79.2,0.0,,0,
2.7.0,= Endenergieverbrauch,GWh/a,,,2.6 * 2.7 / 100,1,
2.7.1,> Nutzungsgrad Endanwendung,%,86.0,88.0,,0,
2.7.2,> Wandlungsverluste Endanwendung,% v. [75],11.1,0.0,,0,
2.7.3,= Einsparung gegenüber Status (relativ),% v. [75],,,calculated formula,1,
2.7.4,= Einsparung gegenüber Status (absolut),GWh/a,,,calculated formula,1,
2.8,davon Wärme (30-100°C/verlustarm nutzbar),% v. [75],16.7,79.5,,0,
2.8.0,= Endenergieverbrauch,GWh/a,,,2.6 * 2.8 / 100,1,
2.9,davon Strom (verlustarm nutzb.),% v. [75],4.1,20.5,,0,
2.9.0,= Endenergieverbrauch,GWh/a,,,2.6 * 2.9 / 100,1,
2.9.1,davon für Wärmepumpen,%,30.7,100.0,,0,
2.9.2,=,GWh/a,,,2.9.0 * 2.9.1 / 100,1,
2.10,Endenergieverbrauch GW gesamt,GWh/a,,,2.7.0 + 2.8.0 + 2.9.0,1,